food,safe_alternative,reason
double sweet lassi,tofu stir-fry,tofu stir-fry is less sugar and better for blood glucose control compared to double sweet lassi.
maggi noodles,air-popped popcorn,air-popped popcorn is whole grains provide sustained energy compared to maggi noodles.
packaged juice,low-oil paneer tikka,low-oil paneer tikka is lower in saturated fat and calories compared to packaged juice.
cheeseburger,steamed hand-pounded rice,steamed hand-pounded rice is lower sodium content supports heart health compared to cheeseburger.
butter chicken,paneer tikka,paneer tikka is baked or steamed instead of deep-fried compared to butter chicken.
cheeseburger,steamed idli,steamed idli is contains more protein to keep you full compared to cheeseburger.
poori,baked fish,baked fish is reduced oil and lighter on the stomach compared to poori.
masala schezwan rice,light moong chilla,light moong chilla is higher in fiber which improves satiety compared to masala schezwan rice.
sev puri,grilled fruit salad,grilled fruit salad is reduced oil and lighter on the stomach compared to sev puri.
double kheer,millet roti,millet roti is higher in fiber which improves satiety compared to double kheer.
bhatura,unsweetened paneer tikka,unsweetened paneer tikka is less sugar and better for blood glucose control compared to bhatura.
extra cheese lachha paratha,lemon water,lemon water is reduced oil and lighter on the stomach compared to extra cheese lachha paratha.
garlic bread,light baked samosa,light baked samosa is lower in saturated fat and calories compared to garlic bread.
chips,quinoa,quinoa is less sugar and better for blood glucose control compared to chips.
cold coffee,multigrain roti,multigrain roti is contains more protein to keep you full compared to cold coffee.
orange soda,unsweetened grilled chicken,unsweetened grilled chicken is contains more protein to keep you full compared to orange soda.
schezwan rice,vegetable soup,vegetable soup is lower in saturated fat and calories compared to schezwan rice.
masala fried rice,steamed baked sweet potato,steamed baked sweet potato is less sugar and better for blood glucose control compared to masala fried rice.
masala brownie,homestyle sweet potato chaat,homestyle sweet potato chaat is baked or steamed instead of deep-fried compared to masala brownie.
masala kachori,plain multigrain roti,plain multigrain roti is less sugar and better for blood glucose control compared to masala kachori.
kaju katli,quinoa,quinoa is baked or steamed instead of deep-fried compared to kaju katli.
misal pav,low-oil black coffee (no sugar),low-oil black coffee (no sugar) is whole grains provide sustained energy compared to misal pav.
jalebi,dal fry (less oil),dal fry (less oil) is fermented or dairy option aids digestion compared to jalebi.
spicy peda,moong chilla,moong chilla is fermented or dairy option aids digestion compared to spicy peda.
maggi noodles,no butter chaas,no butter chaas is reduced oil and lighter on the stomach compared to maggi noodles.
double momos fried,steamed baked samosa,steamed baked samosa is contains more protein to keep you full compared to double momos fried.
kulfi,vegetable soup,vegetable soup is whole grains provide sustained energy compared to kulfi.
pani puri,grilled oats dosa,grilled oats dosa is reduced oil and lighter on the stomach compared to pani puri.
poori,plain khichdi,plain khichdi is higher in fiber which improves satiety compared to poori.
kheer,baked multigrain roti,baked multigrain roti is fermented or dairy option aids digestion compared to kheer.
burger,greek yogurt,greek yogurt is baked or steamed instead of deep-fried compared to burger.
large brownie,vegetable soup,vegetable soup is reduced oil and lighter on the stomach compared to large brownie.
masala momos fried,grilled greek yogurt,grilled greek yogurt is higher in fiber which improves satiety compared to masala momos fried.
chole bhature,millet roti,millet roti is includes more vegetables and micronutrients compared to chole bhature.
kulfi,cucumber salad,cucumber salad is lower sodium content supports heart health compared to kulfi.
cola,low-oil dal tadka,low-oil dal tadka is higher in fiber which improves satiety compared to cola.
doughnut,no butter ragi dosa,no butter ragi dosa is reduced oil and lighter on the stomach compared to doughnut.
garlic kulfi,paneer tikka,paneer tikka is includes more vegetables and micronutrients compared to garlic kulfi.
instant noodles,plain grilled fish,plain grilled fish is lower sodium content supports heart health compared to instant noodles.
shawarma,hand-pounded rice,hand-pounded rice is whole grains provide sustained energy compared to shawarma.
popcorn butter,unsweetened buttermilk,unsweetened buttermilk is lower in saturated fat and calories compared to popcorn butter.
loaded bhel puri,no sugar baked fish,no sugar baked fish is whole grains provide sustained energy compared to loaded bhel puri.
ice cream,unsweetened oats upma,unsweetened oats upma is reduced oil and lighter on the stomach compared to ice cream.
cheese paratha,unsweetened plain dosa,unsweetened plain dosa is less sugar and better for blood glucose control compared to cheese paratha.
samosa,lemon water,lemon water is higher in fiber which improves satiety compared to samosa.
butter pani puri,moong chilla,moong chilla is fermented or dairy option aids digestion compared to butter pani puri.
bhel puri,light cucumber salad,light cucumber salad is contains more protein to keep you full compared to bhel puri.
fried rice,vegetable khichdi,vegetable khichdi is whole grains provide sustained energy compared to fried rice.
sweet lassi,no sugar tofu stir-fry,no sugar tofu stir-fry is fermented or dairy option aids digestion compared to sweet lassi.
cola,grilled paneer tikka,grilled paneer tikka is lower in saturated fat and calories compared to cola.
loaded brownie,black coffee (no sugar),black coffee (no sugar) is contains more protein to keep you full compared to loaded brownie.
gulab jamun,brown rice,brown rice is baked or steamed instead of deep-fried compared to gulab jamun.
double chole bhature,grilled grilled chicken,grilled grilled chicken is baked or steamed instead of deep-fried compared to double chole bhature.
paneer butter masala,plain sauteed greens,plain sauteed greens is includes more vegetables and micronutrients compared to paneer butter masala.
masala bhel puri,hand-pounded rice,hand-pounded rice is fermented or dairy option aids digestion compared to masala bhel puri.
paneer tikka pizza,green tea,green tea is fermented or dairy option aids digestion compared to paneer tikka pizza.
kathi roll,grilled fish,grilled fish is baked or steamed instead of deep-fried compared to kathi roll.
large sev puri,steamed oats dosa,steamed oats dosa is whole grains provide sustained energy compared to large sev puri.
butter pani puri,light stir-fried veggies,light stir-fried veggies is fermented or dairy option aids digestion compared to butter pani puri.
double maggi noodles,unsweetened oats dosa,unsweetened oats dosa is lower in saturated fat and calories compared to double maggi noodles.
small vada pav,low-oil dark chocolate (small piece),low-oil dark chocolate (small piece) is fermented or dairy option aids digestion compared to small vada pav.
family pack nachos,unsweetened tofu tikka,unsweetened tofu tikka is less sugar and better for blood glucose control compared to family pack nachos.
veg biryani,sattu drink (unsweetened),sattu drink (unsweetened) is baked or steamed instead of deep-fried compared to veg biryani.
family pack falooda,green tea,green tea is fermented or dairy option aids digestion compared to family pack falooda.
vada pav,black coffee (no sugar),black coffee (no sugar) is reduced oil and lighter on the stomach compared to vada pav.
small cheese paratha,paneer tikka,paneer tikka is contains more protein to keep you full compared to small cheese paratha.
manchurian,no butter baked samosa,no butter baked samosa is lower sodium content supports heart health compared to manchurian.
doughnut,vegetable soup,vegetable soup is includes more vegetables and micronutrients compared to doughnut.
kachori,grilled black coffee (no sugar),grilled black coffee (no sugar) is lower in saturated fat and calories compared to kachori.
